Year,No,Name,Topic,Summary
107,1,張玉山<br>蘇南誠<br>詹場<br>/柯文乾,運用UCAN結合畢業生流向調查探討教學資源投入對學生學習及就業力之影響-資訊及數理能力對就業力之影響—以求職時間及每月薪資為例,目前大數據及人工智慧等時常被提及，而在各領域各種資訊相關的議題越來越受重視。當學生要涉及這些議題，其需具備相當的資訊能力才能對這些議題做深入瞭解，因此，資訊能力在未來將成為學生的必備能力。資訊能力的邏輯發展跟其數理能力相輔相成，數理能力好的學生，也較容易理解接受在這些領域常被使用的實證分析模型或方法。因此本研究將透過邏輯斯回歸模型去探討台北大學學生之資訊能力及數理能力，對求職時間與每月薪資的影響。而研究結果中，目前在求職時間與每月薪資兩個模型中，在透過篩選樣本之後，顯示了資訊能力對金融與合作經營學系、不動產與城鄉環境學系、企業管理系、財政系等等是有顯著幫助的。
107,2,張玉山<br>蘇南誠<br>童伊迪,運用UCAN結合畢業生流向調查探討教學資源投入對學生學習及就業力之影響-國立臺北大學原住民學生與僑生課業輔導暨大學生活適應調查,學生為例，目前原住民學生約佔總學生人數的1.05%。原住民族為台灣歷史最悠久的族群，長期以來經常面對者被壓迫、剝削及被邊緣化的地位，對於原住民族學生而言，同時面對族群文化或主流意識形態認同的窘境，在教育制度的非政治正確的優惠政策下，原住民同學面臨著制度性歧視的困境，被貶抑與低自尊是揮之不去的陰影。<br><br>有鑑於原住民族學生在校期間休學、退學人數較一般學生人數高，本研究欲了解原住民族學生在學期間的學習參與、學習成效與學習經驗。研究結果希冀能夠作為協助原住民族學生在學期間學習成效之依據，以減少其休學、退學之問題，提升其學習適應與學習自信，進而促進未來的就業力。
107,3,張玉山<br>蘇南誠<br>陳宗天,運用UCAN結合畢業生流向調查探討教學資源投入對學生學習及就業力之影響-職涯中心活動與畢業學生就業相關性調查,本研究為了解學生參與校內不同類型之職涯活動是否有利於學士班學生畢業第一年的求職情況，以幫助決策參考 – 將有限資源優先分配給對學生較有利之活動。因此欲透過統計分析來了解參與職涯活動之次數是否與求職順利度、薪資情況、工作滿意度有相關。由於職涯中心舉辦之活動類型有所不同，因此本研究將職涯中心活動區分為四個類別，分別是：徵才活動、企業實習活動、講座等分享類型的活動、以及技巧教學等工作坊互動類型與實務類型的活動。為達到以上目的，本研究使用’2011-2016職涯講座&校園徵才人數統計表’、‘103-105年詢問畢業一年後畢業生之問卷調查結果’綜合進行分析。本研究先將2011到2016年的‘職涯講座&校園徵才人數統計表’的活動參與名單根據活動性質分成四份表單，並且將相同學號之學生合併藉此統計該學生參與每類別活動之次數。接著分別對於每一年的問卷調查結果做資料清洗，最後利用學號將資料表合併。分析時將資料表分成80％的訓練集以及20%的測試集進行邏輯斯回歸。藉由Score值與p值判斷應變數是否與職涯中心活動參與相關。通過分析發現，學生畢業第一年的求職順利度與參與職涯中心活動有較高的相關性，而薪資狀況以及工作滿意度與職涯中心活動較無相關性。也因此本研究建議職涯中心未來可以嘗試改變活動，使之對於甫出社會的畢業生在求職上更有幫助。另外，本研究的活動分類方式並未與職涯中心討論並取得共識，可能與職涯中心原先規劃不同，因此可以建議職涯中心未來對所舉辦的活動進行分類，以便利往後的資料分析。
107,4,胡中宜,視覺障礙學生課業輔導方案對其學習策略與學習成就之介入成效,本研究針對本校資源教室申請課業輔導的視覺障礙學生，評估課業輔導對其學習策略與學習成就的影響。本研究採用李咏吟、張德榮、洪寶蓮等教授編制、中國行為科學社發行之《大學生學習與讀書策略量表》進行前測與後測。比較前後測之差異並綜合學生的學期成績、班級排名、課業輔導老師背景等變項，進行分析與討論。研究發現學習與讀書策略較好的學生在學期成績上表現學習與讀書策略較弱者優秀。不過最初報名課業輔導時，學習動機的差異，以及施測的時間點，成為本次的研究限制，導致整體學生學習與讀書策略測驗的前、後測差異不明顯。本研究最後提出研究限制，作為未來類似性質研究的參考。
107,5,傅健豪,生源分析：多元入學與平衡城鄉教育機會研究,平衡城鄉學生教育機會，是高等教育改革的主要目標之一。以臺北大學而言，近年雙北以外的學生雖逐年增加，但主要仍來自於高所得、高城鎮化的地區。為進一步探討入學管道、城鄉差距、與學習成效三者的關係，本研究彙整校務系統各學生歷年學習紀錄，並結合居住地資訊，檢驗不同入學管道與居住地來源學生的就學表現。研究成果有下列發現：（一）與過往校務研究及多元入學相關文獻一致，在控制入學年份及系所差異後，繁星入學的學生表現最佳，申請入學者次之，指考入學者平均成績為三者最低。（二）近年都會區學生的表現明顯不如非都會區學生，且城鄉學生表現的差距與地緣距離或入學管道無明顯關聯，即使是來自大台北地區外的學生，非都會區學生的表現仍明顯較好；而不論入學管道為何，此現象皆存在，而此現象主要於多元入學擴大實施後才浮現。（三）在考量城鄉差距後，入學管道與就學表現的關聯性明顯降低，因此過往校內研究所觀察到的入學管道表現差異，可能有相當程度來自於城鄉學生表現的差距。（四）城鄉學生表現之差距，並非普遍存在於所有院系。綜合以上結果，近年所招收之都會區學生特質可能已不同以往，而城鄉學生學習表現之差異，值得校方持續追蹤並探討其成因，以進一步協助系所規劃整體招生策略並擬定輔導資源分配。
107,6,林茂廷,圖書借閱、通識、及網路社群與學習成效之關連,本研究在了解群體對個體學習的影響，原本設定的群體互動研究對象為臉書平台，然自劍橋個資外洩事件後，臉書資料取得變得困難，故改成學生課表與同儕重疊所形成的群聚指標為分析變數。以國立臺北大學100-102學年入學之日間部學生為研究對象，我們發現，越喜歡和同儕群聚學習的學生，其（1）專業科目PR比較高，顯示同儕間有明顯的正向學習影響；然而（2）外系專業科目的學分佔比較低，同時外系專業科目的多元性也較小，顯示同儕群聚對多元興趣探索似乎有負面的影響。本研究也同時探討了圖書借閱與通識課程對學習成效的影響，初步研究發現（3）對畢業學分多且外系專業比重高的學生，書籍借閱量與PR 有正向關連；另外，（4）對於畢業學分安排相對少的學生，其通識修習科目越多，PR也較高。
107,7,陳婉琪,跨領域有用嗎？臺北大學學生之跨領域學習狀況及職場表現初探,近十年多間，教育部積極透過各類計畫案推廣跨領域學習，希望能培養多方跨領域人才，顯示跨領域學習的重要性。然同一時間，台灣正逐漸走向低薪化，大家都在問，如何提升或加值自我薪水？因此，數篇報導與研究就指出：「跨領域學習」能讓我們換位思考，並整合不同領域知識，同時提升自我薪水。真是如此嗎？為了回答此問題並瞭解本校跨領域學習情形，本報告整合本校校務資料及畢業生流向調查，係回答跨領域學習是否真的能夠讓同學在未來找工作或薪資上有所幫助？此外，本報告也提供本校各院／系所瞭解其學生修習跨領域的比率及狀態，供各單位參閱。<br><br>本次研究結果如下。2012-16年本校跨領域學習的比率有微幅上升趨勢；人文學院、社科院／歷史系、中文系完成至少一類跨領域學習的學生比例較其他院／系所來得高。再者，本報告發現，雙主修、輔系或跨領域學程的畢業生，在初職薪資上雖無明顯優勢，但仍呈現正面加值效果。而跨領域學習的優勢主要在於「跨系修課比例」本身，修習跨系課程比例越多，則其畢業後的薪資也就越高。
107,8,陳易甫,適性選才、學業中斷與初職表現,有鑑於未來大學辦學所面臨的難題，本研究利用臺北大學的校務資料結合各科系歷年選才的標準來探討大學生源流失的議題。運用2011至2017年的校務資料，本研究針對大學生休學與退學進行分析。分析結果顯示臺北大學歷年生源流失比例約在5%至7%之間。其次，有微弱的趨勢顯示此一流失比例跟學生的學測總分有關。那些學測表現較優的學生，在入學後有較高的休退學可能。在有關最小倍率科目與主科檢定標準的分析中，校務資料顯示數學能力較高的學生有較大的可能性會有休退學的情事發生。依據這些發現，本研究依據「適性選才」的原則提出相應的詮釋與建議。
107,9,吳宜珍,不同居住類型對臺北大學學生學習成效之探討,宿舍與招生問題息息相關，且臺灣近年來逐漸重視宿舍與學習發展，一些大學懷抱著理想，開始成立住宿書院或學院。顯示宿舍的教育功能逐漸成為國內外大學人才培育過程中不可或缺的一環。國內莘莘學子歷經升學競爭壓力後，進入大學就讀，首次離家居住在學校宿舍或是租賃房屋在校外，在離家缺乏父母照顧與管教的環境下，宿舍所提供的住宿生活和學習環境對大學生的發展是相當重要的。學生宿舍位於校園內，學生更能使用學校資源，因而期待住宿舍學生能比居住在校外的學生有更好的學習成績表現。但是，大學生從高中生活，離開父母的管教，住宿生亦有可能少了家人的約束，長時間沉溺於玩樂而荒廢課業，導致學習成效不佳。基於前述背景與動機，讓人欲探究不同居住類型的學生其學習成績有差異嗎?學生宿舍在校園內，會增加學生學習的機會? 藉此審視宿舍對於學生的實質助益。研究結果發現不同居住類型對學生的學業成績無顯著差異，但是在圖書館借閱量方面住宿生高於住家裡的學生，表示住宿生居住在校園會增加學習的機會。
106,1,傅健豪,生源分析：多元入學與平衡城鄉教育機會研究,高等教育規劃的重要目標之一，在於透過平衡教育機會以促進社會階級流動。近年大學招生模式的改革是否能有效落實此理念，便成為學者及政策規劃者的焦點。本研究整合校務及外部資料，分析自2001年來，臺北大學生源區域組成之變化。先以描述性統計呈現歷年入學新生來源及集中度；再進一步透過人口、收入等城鄉化指標，檢視多元入學之實施是否有助於來自資源落後區域學生之就學機會；最後比較上述情況在各學院與系所間的異同，以利於系所規劃對學生就學後的輔導策略。研究結果顯示臺北大學近年來已減少對雙北生源的依賴，學生來源的集中度也逐漸下降，但日間部入學生仍大多來自於都會區，而學生來源地區組成的歷年變化在學院與系所間有相當程度的差異。<br><br>就城鄉差距方面而言，研究發現本校自多元入學實施後，南北失衡的問題雖有逐步改善，但對學生大多來自高所得、高城鎮化地區的狀況並無明顯影響。甚至在近幾年，申請與考試入學的學生來自高所得地區的比例有逐漸增加的情況，而以繁星入學的學生來源則較接近全國平均。此外，迴歸分析的結果亦顯示單以平衡資源落差地區學生之入學機會而言，繁星入學為最有效的工具。此研究最終成果可協助校方規劃整體招生策略，透過適用於臺北大學特性之參考資料來分配未來入學管道之員額與安排適當之學業輔導，以確保兼顧生源多元化及學生適才適所的目標。
106,2,吳雪伶,各種招生管道、入學成績與學生學習成效的關聯性研究,在學生總量限制及教學設備等資源固定下，本校各學系在擬定招生政策時，必須思考如何在各種不同入學管道中取捨，藉以招收到最適合之學生。然而，過去本校在擬定招生政策時，因未曾確切掌握各種入學管道之學生學習表現而無法據以提供招生政策之參考。有鑑於此，本研究依各種不同招生管道、入學成績及其在校之學習表現進行統計分析與優劣比較，進而剖析它們之間的關聯性，藉以提供本校各學系調整其配置比例之參考。研究發現繁星推薦、學測總級分與學測國文/英文/數學成績較高的學生皆有較佳的PR值表現，但學測總級分與學測數學成績較高的學生有隨學期變動而有下降之趨勢。<br><br>本研究考慮學生學習成效應強化多面向的學習能力，而非學業成績。有鑑於此，引用歐美評鑑機制，增加100~105學年度入學的日間部學士班學生，在語文能力(TOEIC)、課外活動(參與實習、圖書館借閱次數)與在校學習表現(延畢)等三個面向加以探討。透過羅吉斯迴歸分析發現，儘管指考分發學生在PR值的表現最差，但他們在其他能力表現(如:TOEIC、參與實習、圖書館借閱次數等)卻是表現最佳。整體而言，本校繁星推薦學生的表現(除會計系與資工系外)優於推甄入學與指考分發，符合過去研究。
106,3,程智男,招生成效：弱勢學生入學管道及學習成效表現研究,據臺灣高等教育整合資料庫及教育部相關統計，臺灣教育似有走向M型化的趨勢：家庭社經背景愈佳，就讀公立校院之機會愈大；相對富裕家庭子女可就讀學費較便宜且學校資源較豐富的公立大學，而相對弱勢家庭子女卻較常就讀學費教高的私立大學。教育失去原有促進社會階層流動之功能，實為應關注且翻轉之現象。本研究擬利用本校教務處與學務處之學生資料進行分析。我們發現多元入學管道中，繁星推薦與甄選入學並沒有不利於經濟弱勢學生，反而是指考新生中經濟弱勢比例逐年下降。同時原住民甄選入學的比例，自100學年度以來均為三個管道中最高。建議學校可以考慮增推甄與繁星管道的招生數量，促進社會階層流動，提供弱勢群體提升的機會。更進一步分析課業表現，相較於一般學生，經濟弱勢學生的學習成效與一般生接近。原住民以及身心障礙學生則有學習落後的現象，建議學校可以考慮增加輔導資源，以幫助學生。
106,4,張四明,僑生及國際生與跨國移動學習之南向招生策略分析,配合政府新南向政策大學應以「人才培育」、成為台籍企業後盾為中心，並依臺北大學優勢與各國經濟或產業需求，據以調整本校招生策略，擴大招收僑生及外籍學位生已納入臺北大學校務發展重點項目之一。<br><br>本研究旨在探討101學年度至105學年度臺北大學外籍生、僑生及陸生之入學狀況與學習滿意度，並瞭解本校學生赴外國際移動學習之意願與需求分析，以資作為研擬及調整臺北大學新南向招生策略與開拓新南向策略夥伴大學或合作姐妹校之重要參考。
106,5,李俊儀,學生選才、學習投入與學習表現之初探,本研究以臺北大學師資培育中心為例，進行選生選才、學習投入與學習表現關係之研究，師培中心學生選才主要有四種成績來源: 教育常識測驗、教育情境測驗、思考能力測驗與自傳報告成績，這些選才的依據跟學生的學習表現之間是否有關係，選才的成績是否也會影響學習投入，另外，學習投入與學生的學習表現是否也有關係，最後我們也想知道，學習投入是否為學生選才與學習表現的中介變項。本研究使用問卷調查法，針對已經修過師培課程一年以上之學生進行研究。研究結果發現，師培中心的選才確實能預測修課成績，預測力分別是思考能力>常識測驗>自傳報告>情境測驗，其中只有思考能力達到顯著，建議可以提高思考能力所佔選才的百分比。而師培中心學生的學習投入也確實能預測核心能力自評，預測力分別是行為>認知>情感，其中只有行為達到顯著，因此促進學生學習參與課程與活動的安排對於師培中心核心能力的培養有決定性的影響。
106,6,黃怡婷<br>鄭琪珍<br>賀慶軒<br>陳景皓<br>黃煜鈞<br>陳立晉<br>田弘岳<br>張喻,學習品保,
106,7,黃怡婷<br>梁丞智<br>陸薇安,教學教學評鑑,
106,8,陳婉琪,學生學習精進因素探討：學分多，學習多？,"影響學生成效的因素相當多，本計畫將聚焦於探討學生修課行為對學習成效的影響。修越多課，學習效果越好嗎？臺灣的大學課程安排比起國外是相對學期長、學分多，這樣的環境是否讓學生難以深度學習，學得多反而學不精？如果修太多課真的有負影響，對不同年級的學生都如此嗎？為了回答前述的疑惑，本文運用國立臺北大學2001至2014年（90~103學年度）的校務資料，共計1 6,419名學生，分析學生的修課學分數以及全系排名之間的關聯。從一般OLS迴歸分析的結果來看，我們發現修課學分數與全系排名之間的相關性，在不同年級的學生當中此相關性竟然大相徑庭：大一、二學生當中，修課學分數越多的人，成績越好，但對大三、四學生來說卻完全相反，修課學分數越多的人，成績越差。此結果應是由於個人特質的干擾——大一、二生，修課主動積極者同時修課多[經常是因為修輔系、雙學位]，表現也比較好；但大三、四生當中，學分數多往往是因為必須重修，而這群人的成績相對較差。為了排除個人特質的干擾，我們最後以固定效果模型(individual fixed-effect model)來分析資料。整體而言，學分數與系排名呈現負相關，但細分年級後負影響僅存在大三、四階段。換句話說，修課學分數的多寡對低年級大學生的成績並無顯著影響，但學生進入高年級後，若選擇修習學分數過多，會影響其學習表現，降低其學習效果。"
106,9,林茂廷,課程與學習效能的關連診斷,"一般對於學習成效的研究多以課業成績平均為學習效能衡量指標，然而這樣的指標受學生修課規劃影響劇烈，課業成績平均可能無法完全代表學生的學習成效。本研究利用課程內各科目的給分狀況，使用統計上的項目反應理論（Item Response Theory, IRT）, 剔除給分寬鬆度造成的課程難易差別來粹取學生成績單背後所隱含的學習效能指標。依據本校98至101學年入學的經濟系大學部學生為分析對象及其在經濟系專業科目的成績表現，進行學習成效指標粹取，做為其專業能力水準的衡量。結果發現，專業科目平均成績與專業能力的相關係數約有百分之85, 然而學生平均成績越低，其成績平均的專業能力代表性越低。因此在針對學習有困難的學生，單純使用成績為效能衡量指標可能會有偏頗。"
106,10,胡中宜,視覺障礙學生課業輔導方案對其學習策略與學習成就之介入成效,本研究針對本校資源教室申請課業輔導的視覺障礙學生，評估課業輔導對其學習策略與學習成就的影響。本研究採用李咏吟、張德榮、洪寶蓮等教授編制、中國行為科學社發行之《大學生學習與讀書策略量表》進行前測、後測與追蹤測。比較前、後與追蹤測之差異並綜合學生的學期成績、班級排名、科系等變項，進行分析與討論。研究發現學習與讀書策略較好的學生在學期成績上表現學習與讀書策略較弱者優秀。不過最初報名課業輔導時，學習動機的差異，以及施測的時間點，成為本次的研究限制，導致整體學生學習與讀書策略測驗的前、後測差異不明顯。
106,11,陳芬苓,運用UCAN結合畢流探討教學資源投入對學生學習力及就業力的影響-以公職路徑為例,鑒於本校愈來愈多學生經由考取公務人員國家考試，於各部門機關擔任職務，為社會與國家盡一份心力，而學校的教學領域、各科系的課程與學生在課內外的活動也愈來愈廣泛，本研究主要探討的問題在於了解教學需著重在哪些地方能夠使學生較有機會通過國家考試，並運用UCAN 平台之興趣探索調查結合學生考取國家考試與否的資料，進行校務研究之資料研究分析，可作為教學資源應用與調整的參考。<br><br>本研究以本校法律系、公共行政系與社會工作學系學生為樣本，透過職業興趣探索問卷、學生基本資料、修課成績及校內外的活動等資料，進行決策樹及多元邏輯斯回歸模型的分析，觀察上述哪些變項較為顯著(即值得注意的課程與特質)，並進一步分析各變項對公務人員的影響程度<br><br>由研究結果可得知，較能擔任公務人員的潛質有以下幾種：(1) 待人圓融；(2) 喜歡正確並有誠信的管理金錢；(3) 喜歡演奏樂器；(4) 喜歡在組織團體中做事；(5) 做事不喜歡講究方法；(6) 積極；(7) 樂觀；(8) 喜歡指導他人或為他人策劃活動；(9) 樂於參與進修或學習的活動。另外，學生入學的管道與是否考取公務人員具有高度相關性，學校也可加強大學部各科系重點專業課程的教學，並增強學生的外語能力(包含TOEIC、外國語文與語文兩項課程)。而若多鼓勵研究生實習與加強必修課的教學，也較能使學生走向律師一職。
